source,unit_id,unit_type,year,unit_date,unit_label,unit_url,n_items_total
The European Physical Journal C,epj_c_1990_v46_i1,journal_issue,1990,1990-03-01,"vol. 46, issue 1",https://doi.org/10.1007/bf02440838,23
The European Physical Journal C,epj_c_1990_v46_i2,journal_issue,1990,1990-06-01,"vol. 46, issue 2",https://doi.org/10.1007/bf01556000,20
The European Physical Journal C,epj_c_1990_v46_i3,journal_issue,1990,1990-09-01,"vol. 46, issue 3",https://doi.org/10.1007/bf01621031,19
The European Physical Journal C,epj_c_1990_v46_i4,journal_issue,1990,1990-12-01,"vol. 46, issue 4",https://doi.org/10.1007/bf01560270,23
The European Physical Journal C,epj_c_1990_v47_i1,journal_issue,1990,1990-03-01,"vol. 47, issue 1",https://doi.org/10.1007/bf01551921,23
The European Physical Journal C,epj_c_1990_v47_i2,journal_issue,1990,1990-06-01,"vol. 47, issue 2",https://doi.org/10.1007/bf01552339,22
The European Physical Journal C,epj_c_1990_v47_i3,journal_issue,1990,1990-09-01,"vol. 47, issue 3",https://doi.org/10.1007/bf01565857,15
The European Physical Journal C,epj_c_1990_v47_i4,journal_issue,1990,1990-12-01,"vol. 47, issue 4",https://doi.org/10.1007/bf01552335,23
The European Physical Journal C,epj_c_1990_v48_i1,journal_issue,1990,1990-03-01,"vol. 48, issue 1",https://doi.org/10.1007/bf01565619,22
The European Physical Journal C,epj_c_1990_v48_i2,journal_issue,1990,1990-06-01,"vol. 48, issue 2",https://doi.org/10.1007/bf01554472,23
The European Physical Journal C,epj_c_1990_v48_i3,journal_issue,1990,1990-09-01,"vol. 48, issue 3",https://doi.org/10.1007/bf01572024,17
